,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
0,CU,CU3,2015/11/03,1,450,104584,0.14,000124-38-9,4.0,CU3-1103-1,6.20115485564,CU3-1103
1,CU,CU3,2015/11/03,2,493,103807,0.14,000124-38-9,4.0,CU3-1103-2,6.20461341307,CU3-1103
2,CU,CU3,2015/11/03,3,1981,103443,0.14,000563-46-2,35.0,CU3-1103-3,6.50607501321,CU3-1103
3,CU,CU3,2015/11/03,3,1981,103443,0.14,000930-18-7,35.0,CU3-1103-3,6.50607501321,CU3-1103
4,CU,CU3,2015/11/03,3,1981,103443,0.14,000627-20-3,35.0,CU3-1103-3,6.50607501321,CU3-1103
5,CU,CU3,2015/11/03,4,2105,78420,0.1,999007-66-4,9.0,CU3-1103-4,6.57693465824,CU3-1103
6,CU,CU3,2015/11/03,4,2105,78420,0.1,004927-03-1,4.0,CU3-1103-4,6.57693465824,CU3-1103
7,CU,CU3,2015/11/03,4,2105,78420,0.1,054211-16-4,9.0,CU3-1103-4,6.57693465824,CU3-1103
8,CU,CU3,2015/11/03,5,2134,136752,0.18,001191-99-7,49.0,CU3-1103-5,6.59632741986,CU3-1103
9,CU,CU3,2015/11/03,6,2166,199396,0.26,000123-72-8,78.0,CU3-1103-6,6.61946330424,CU3-1103
10,CU,CU3,2015/11/03,7,2191,66582,0.09,000064-19-7,64.0,CU3-1103-7,6.63887962654,CU3-1103
11,CU,CU3,2015/11/03,8,2213,49279,0.07,000534-22-5,76.0,CU3-1103-8,6.65706447188,CU3-1103
12,CU,CU3,2015/11/03,9,2254,769124,1.02,000109-99-9,90.0,CU3-1103-9,6.69344914948,CU3-1103
13,CU,CU3,2015/11/03,10,2270,78929,0.1,000109-99-9,80.0,CU3-1103-10,6.70884202738,CU3-1103
14,CU,CU3,2015/11/03,11,2314,59924,0.08,000109-69-3,64.0,CU3-1103-11,6.7549251379,CU3-1103
15,CU,CU3,2015/11/03,12,2351,133877,0.18,000071-43-2,91.0,CU3-1103-12,6.79866611088,CU3-1103
16,CU,CU3,2015/11/03,13,2365,453905,0.6,000071-36-3,80.0,CU3-1103-13,6.81636131231,CU3-1103
17,CU,CU3,2015/11/03,14,2482,178297,0.24,999061-16-6,39.0,CU3-1103-14,7.00419287212,CU3-1103
18,CU,CU3,2015/11/03,14,2482,178297,0.24,041563-26-2,36.0,CU3-1103-14,7.00419287212,CU3-1103
19,CU,CU3,2015/11/03,14,2482,178297,0.24,999061-16-5,39.0,CU3-1103-14,7.00419287212,CU3-1103
20,CU,CU3,2015/11/03,15,2553,492453,0.65,000109-60-4,83.0,CU3-1103-15,7.16686967113,CU3-1103
