,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
67,CU,CU3,2015/11/03,42,3905,85027,0.11,000100-66-3,95.0,CU3-1103-42,922.333931777,CU3-1103
223,CU,CU3,2015/11/25,31,3527,52072,0.19,000100-66-3,96.0,CU3-1125-31,935.541044776,CU3-1125
468,CU,CU3,2015/11/07,31,3877,54512,0.16,000100-66-3,96.0,CU3-1107-31,917.889273356,CU3-1107
783,CU,CU4,2015/11/26,35,3525,33200,0.07,000100-66-3,93.0,CU4-1126-35,935.037174721,CU4-1126
1472,CU,CU4,2015/11/07,36,3876,48252,0.12,000100-66-3,95.0,CU4-1107-36,917.726330339,CU4-1107
2238,CU,CU2,2015/11/07,38,3876,11080,0.09,000100-66-3,93.0,CU2-1107-38,917.767023851,CU2-1107
2638,CU,CU5,2015/11/07,38,3876,43660,0.15,000100-66-3,95.0,CU5-1107-38,917.726330339,CU5-1107
3180,CU,CU5,2015/11/03,41,3905,95459,0.15,000100-66-3,96.0,CU5-1103-41,922.333931777,CU5-1103
3351,CU,CU5,2015/11/26,32,3524,27267,0.21,000100-66-3,94.0,CU5-1126-32,934.849187935,CU5-1126
3525,CU,CU1,2015/11/11,40,3866,84057,0.19,000100-66-3,96.0,CU1-1111-40,920.575692964,CU1-1111
3717,CU,CU1,2015/11/06,39,3882,43980,0.26,000100-66-3,93.0,CU1-1106-39,918.669453152,CU1-1106
4120,CU,CU1,2015/11/25,31,3529,25603,0.33,000100-66-3,94.0,CU1-1125-31,935.985025737,CU1-1125
4539,MU,MU1,2015/11/03,44,3905,179993,0.23,000100-66-3,95.0,MU1-1103-44,922.333931777,MU1-1103
4866,MU,MU1,2015/11/07,37,3877,54556,0.18,000100-66-3,94.0,MU1-1107-37,917.889273356,MU1-1107
5036,MU,MU1,2015/11/25,34,3531,46530,0.09,000100-66-3,95.0,MU1-1125-34,936.496007515,MU1-1125
5206,MU,MU3,2015/11/26,35,3522,53656,0.27,000100-66-3,94.0,MU3-1126-35,934.350439205,MU3-1126
5402,MU,MU3,2015/11/03,47,3906,173317,0.27,000100-66-3,96.0,MU3-1103-47,922.509888529,MU3-1103
5561,MU,MU3,2015/11/24,34,3527,52170,0.4,000100-66-3,94.0,MU3-1124-34,935.541044776,MU3-1124
6034,MU,MU3,2015/11/07,37,3876,51166,0.3,000100-66-3,94.0,MU3-1107-37,917.767023851,MU3-1107
6428,MU,MU5,2015/11/04,37,3903,37816,0.09,000100-66-3,95.0,MU5-1104-37,922.02722063,MU5-1104
6620,MU,MU5,2015/11/25,32,3528,37768,0.35,000100-66-3,95.0,MU5-1125-32,935.794392523,MU5-1125
7016,MU,MU5,2015/11/07,37,3875,41465,0.18,000100-66-3,95.0,MU5-1107-37,917.604418364,MU5-1107
7201,MU,MU2,2015/11/06,38,3883,86176,0.14,000100-66-3,97.0,MU2-1106-38,918.835019184,MU2-1106
