,Class,Sample,Date,Peak,RT,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID
0,CU,CU3,2015/11/03,6,8.203,2166,199396,0.26,000123-72-8,78.0,CU3-1103-6
1,CU,CU3,2015/11/03,8,8.38,2213,49279,0.07,000534-22-5,76.0,CU3-1103-8
2,CU,CU3,2015/11/03,9,8.533,2254,769124,1.02,000109-99-9,90.0,CU3-1103-9
3,CU,CU3,2015/11/03,10,8.593,2270,78929,0.1,000109-99-9,80.0,CU3-1103-10
4,CU,CU3,2015/11/03,12,8.897,2351,133877,0.18,000071-43-2,91.0,CU3-1103-12
5,CU,CU3,2015/11/03,13,8.949,2365,453905,0.6,000071-36-3,80.0,CU3-1103-13
6,CU,CU3,2015/11/03,15,9.654,2553,492453,0.65,000109-60-4,83.0,CU3-1103-15
7,CU,CU3,2015/11/03,17,10.066,2663,1524114,2.01,000137-32-6,83.0,CU3-1103-17
8,CU,CU3,2015/11/03,17,10.066,2663,1524114,2.01,034713-94-5,83.0,CU3-1103-17
9,CU,CU3,2015/11/03,18,10.164,2689,82323,0.11,001115-11-3,90.0,CU3-1103-18
10,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,024587-26-6,97.0,CU3-1103-19
11,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,024587-27-7,95.0,CU3-1103-19
12,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,019264-50-7,95.0,CU3-1103-19
13,CU,CU3,2015/11/03,21,10.617,2810,505338,0.67,000544-25-2,87.0,CU3-1103-21
14,CU,CU3,2015/11/03,21,10.617,2810,505338,0.67,000108-88-3,94.0,CU3-1103-21
15,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,000111-66-0,95.0,CU3-1103-24
16,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,038851-70-6,94.0,CU3-1103-24
17,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,038851-69-3,93.0,CU3-1103-24
18,CU,CU3,2015/11/03,25,11.352,3006,224813,0.3,000066-25-1,90.0,CU3-1103-25
19,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,000111-67-1,96.0,CU3-1103-26
20,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,013389-42-9,97.0,CU3-1103-26
21,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,007642-04-8,95.0,CU3-1103-26
22,CU,CU3,2015/11/03,27,11.611,3075,531994,0.7,000106-36-5,83.0,CU3-1103-27
23,CU,CU3,2015/11/03,28,11.723,3105,5411345,7.15,000123-86-4,83.0,CU3-1103-28
24,CU,CU3,2015/11/03,29,11.892,3150,5923473,7.82,000541-05-9,90.0,CU3-1103-29
25,CU,CU3,2015/11/03,32,13.002,3446,95171,0.13,000100-41-4,93.0,CU3-1103-32
26,CU,CU3,2015/11/03,33,13.226,3506,742530,0.98,001330-20-7,92.0,CU3-1103-33
