,Sample_ID,000100-66-3,000105-68-0,000100-52-7,000142-92-7,001565-80-6,000111-27-3,000108-88-3,061692-83-9,000071-36-3,999199-74-1,053955-81-0,004176-06-1,068039-26-9,000123-92-2,010032-15-2,000106-42-3,000628-63-7,000106-27-4,019264-50-7,000097-62-1,000922-63-4,000626-82-4,017928-28-8,002471-84-3,000095-47-6,010544-63-5,000110-54-3,000099-87-6,999145-27-3,999145-27-2,006378-65-0,000110-19-0,000534-22-5,000629-59-4,000824-90-8,000123-51-3,001632-70-8,000100-41-4,001330-20-7,000527-84-4,000624-54-4,000108-38-3,055514-48-2,002445-67-2,000105-66-8,000868-57-5,000110-93-0,000556-67-2,000097-87-0,004313-57-9,000111-90-0,000629-50-5,051115-64-1,007785-66-2,024587-26-6,062016-48-2,000502-61-4,000623-42-7,000064-19-7,000626-77-7,000111-13-7,000078-93-3,000095-63-6,002445-78-5,000539-90-2,000100-84-5,001191-99-7,000110-80-5,000560-32-7,000629-62-9,007452-79-1,000593-45-3,001733-25-1,000106-36-5,000124-18-5,000629-20-9,002198-61-0,000592-46-1,000100-51-6,000137-32-6,053044-27-2,015706-73-7,000096-48-0,000540-18-1,000123-66-0,000100-42-5,000106-70-7,001708-29-8,002216-34-4,000123-72-8,037064-20-3,000060-12-8,999059-80-5,000105-58-8,014905-56-7,000071-41-0,000064-17-5,999067-89-0,000071-43-2,000590-86-3,999145-36-1,000109-21-7,999145-36-2,006092-54-2,013450-73-2,000138-86-3,005989-54-8,000535-77-3,007642-04-8,000109-60-4,001115-11-3,000141-78-6,000644-30-4,000066-25-1,000763-29-1,000105-54-4,000590-01-2,026560-14-5,034713-94-5,000000-00-0,053951-50-1,000624-41-9,000513-86-0,000123-86-4,000109-99-9,024587-27-7,000096-29-7,004170-30-3,007525-62-4,000100-45-8,000142-82-5,002445-76-3,000091-20-3,000111-11-5,000105-37-3,002601-13-0,000541-05-9,017312-54-8,054004-43-2,017699-05-7,000093-89-0,000624-13-5,000539-82-2,999556-92-5,000141-62-8
0,CU3-1103,0.11,1.89,0.0,5.9,0.0,0.0,0.67,0.0,0.6,0.0,0.0,0.0,0.26,0.0,4.15,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.53,0.0,0.0,2.01,0.0,2.47,0.0,0.35,0.0,0.0,0.23,0.0,0.0,0.26,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.65,0.11,0.0,0.18,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,27.18,0.0,7.15,1.02,0.0,0.0,0.0,0.08,0.0,0.0,1.35,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CU3-1125,0.19,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,1.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.94,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,2.02,0.0,2.93,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.13,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,2.19,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.13,3.83,0.0,0.0,0.06,0.0,0.0,0.0,5.39,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CU3-1107,0.16,3.92,0.0,5.17,0.0,0.0,0.4,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.4,0.0,0.0,1.44,0.0,2.55,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.21,0.0,0.0,4.3,0.0,0.0,0.0,0.0,36.74,0.0,6.28,0.93,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CU4-1126,0.07,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.23,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.92,0.0,0.0,0.35,0.0,0.0,1.42,0.0,4.6,0.0,0.5,3.25,0.0,0.0,0.0,0.0,0.16,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.53,2.18,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,3.29,1.35,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.48,0.0,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CU4-1107,0.12,2.26,0.0,4.94,0.0,0.0,0.45,0.0,0.52,0.0,0.0,0.0,0.39,0.0,3.63,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.89,0.0,0.0,0.81,0.0,0.0,1.64,0.0,3.7,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.17,0.0,0.09,3.31,0.13,0.0,0.0,0.0,26.55,0.0,5.19,0.56,0.04,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CU2-1107,0.09,0.0,0.4,1.04,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CU5-1107,0.15,3.12,0.0,3.47,0.0,0.0,0.6,0.0,0.73,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.26,0.0,0.0,0.33,0.0,0.0,2.35,0.0,1.82,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.37,0.0,0.0,3.17,0.0,0.0,0.0,0.0,33.22,0.0,4.7,1.42,0.0,0.0,0.0,0.0,0.15,0.0,0.83,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
7,CU5-1103,0.15,1.45,0.0,7.18,0.0,0.0,1.24,0.0,0.74,0.0,0.0,0.0,0.0,0.0,2.81,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,4.99,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.35,0.0,0.0,2.22,0.0,1.75,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.24,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.64,0.11,0.0,0.16,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,23.72,0.0,7.23,1.17,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CU5-1126,0.21,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.78,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.14,0.67,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.3,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CU1-1111,0.19,0.79,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,0.0,0.46,1.65,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,40.13,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0
