,Class,Sample,Date,Peak,RT,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID
0,CU,CU3,2015/11/03,1,1.771,450,104584,0.14,000124-38-9,4.0,CU3-1103-1
1,CU,CU3,2015/11/03,2,1.932,493,103807,0.14,000124-38-9,4.0,CU3-1103-2
2,CU,CU3,2015/11/03,3,7.51,1981,103443,0.14,000563-46-2,35.0,CU3-1103-3
3,CU,CU3,2015/11/03,3,7.51,1981,103443,0.14,000930-18-7,35.0,CU3-1103-3
4,CU,CU3,2015/11/03,3,7.51,1981,103443,0.14,000627-20-3,35.0,CU3-1103-3
5,CU,CU3,2015/11/03,4,7.975,2105,78420,0.1,999007-66-4,9.0,CU3-1103-4
6,CU,CU3,2015/11/03,4,7.975,2105,78420,0.1,004927-03-1,4.0,CU3-1103-4
7,CU,CU3,2015/11/03,4,7.975,2105,78420,0.1,054211-16-4,9.0,CU3-1103-4
8,CU,CU3,2015/11/03,5,8.083,2134,136752,0.18,001191-99-7,49.0,CU3-1103-5
9,CU,CU3,2015/11/03,6,8.203,2166,199396,0.26,000123-72-8,78.0,CU3-1103-6
10,CU,CU3,2015/11/03,7,8.297,2191,66582,0.09,000064-19-7,64.0,CU3-1103-7
11,CU,CU3,2015/11/03,8,8.38,2213,49279,0.07,000534-22-5,76.0,CU3-1103-8
12,CU,CU3,2015/11/03,9,8.533,2254,769124,1.02,000109-99-9,90.0,CU3-1103-9
13,CU,CU3,2015/11/03,10,8.593,2270,78929,0.1,000109-99-9,80.0,CU3-1103-10
14,CU,CU3,2015/11/03,11,8.758,2314,59924,0.08,000109-69-3,64.0,CU3-1103-11
15,CU,CU3,2015/11/03,12,8.897,2351,133877,0.18,000071-43-2,91.0,CU3-1103-12
16,CU,CU3,2015/11/03,13,8.949,2365,453905,0.6,000071-36-3,80.0,CU3-1103-13
17,CU,CU3,2015/11/03,14,9.388,2482,178297,0.24,999061-16-6,39.0,CU3-1103-14
18,CU,CU3,2015/11/03,14,9.388,2482,178297,0.24,041563-26-2,36.0,CU3-1103-14
19,CU,CU3,2015/11/03,14,9.388,2482,178297,0.24,999061-16-5,39.0,CU3-1103-14
20,CU,CU3,2015/11/03,15,9.654,2553,492453,0.65,000109-60-4,83.0,CU3-1103-15
21,CU,CU3,2015/11/03,16,9.804,2593,55761,0.07,000623-42-7,49.0,CU3-1103-16
22,CU,CU3,2015/11/03,17,10.066,2663,1524114,2.01,000137-32-6,83.0,CU3-1103-17
23,CU,CU3,2015/11/03,17,10.066,2663,1524114,2.01,034713-94-5,83.0,CU3-1103-17
24,CU,CU3,2015/11/03,18,10.164,2689,82323,0.11,001115-11-3,90.0,CU3-1103-18
25,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,024587-26-6,97.0,CU3-1103-19
26,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,024587-27-7,95.0,CU3-1103-19
27,CU,CU3,2015/11/03,19,10.348,2738,42397,0.06,019264-50-7,95.0,CU3-1103-19
28,CU,CU3,2015/11/03,20,10.438,2762,111433,0.15,000544-10-5,23.0,CU3-1103-20
29,CU,CU3,2015/11/03,20,10.438,2762,111433,0.15,042141-19-5,12.0,CU3-1103-20
30,CU,CU3,2015/11/03,20,10.438,2762,111433,0.15,006974-77-2,23.0,CU3-1103-20
31,CU,CU3,2015/11/03,21,10.617,2810,505338,0.67,000544-25-2,87.0,CU3-1103-21
32,CU,CU3,2015/11/03,21,10.617,2810,505338,0.67,000108-88-3,94.0,CU3-1103-21
33,CU,CU3,2015/11/03,22,10.794,2857,106232,0.14,000110-19-0,72.0,CU3-1103-22
34,CU,CU3,2015/11/03,23,10.872,2878,46242,0.06,000868-57-5,64.0,CU3-1103-23
35,CU,CU3,2015/11/03,23,10.872,2878,46242,0.06,057289-53-9,64.0,CU3-1103-23
36,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,000111-66-0,95.0,CU3-1103-24
37,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,038851-70-6,94.0,CU3-1103-24
38,CU,CU3,2015/11/03,24,11.12,2944,60211,0.08,038851-69-3,93.0,CU3-1103-24
39,CU,CU3,2015/11/03,25,11.352,3006,224813,0.3,000066-25-1,90.0,CU3-1103-25
40,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,000111-67-1,96.0,CU3-1103-26
41,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,013389-42-9,97.0,CU3-1103-26
42,CU,CU3,2015/11/03,26,11.483,3041,68853,0.09,007642-04-8,95.0,CU3-1103-26
43,CU,CU3,2015/11/03,27,11.611,3075,531994,0.7,000106-36-5,83.0,CU3-1103-27
44,CU,CU3,2015/11/03,28,11.723,3105,5411345,7.15,000123-86-4,83.0,CU3-1103-28
45,CU,CU3,2015/11/03,29,11.892,3150,5923473,7.82,000541-05-9,90.0,CU3-1103-29
46,CU,CU3,2015/11/03,30,12.312,3262,49529,0.07,000538-44-3,43.0,CU3-1103-30
47,CU,CU3,2015/11/03,30,12.312,3262,49529,0.07,999059-38-4,50.0,CU3-1103-30
48,CU,CU3,2015/11/03,30,12.312,3262,49529,0.07,025695-77-6,43.0,CU3-1103-30
49,CU,CU3,2015/11/03,31,12.844,3404,64911,0.09,000544-10-5,42.0,CU3-1103-31
50,CU,CU3,2015/11/03,32,13.002,3446,95171,0.13,000100-41-4,93.0,CU3-1103-32
51,CU,CU3,2015/11/03,33,13.226,3506,742530,0.98,001330-20-7,92.0,CU3-1103-33
52,CU,CU3,2015/11/03,33,13.226,3506,742530,0.98,000106-42-3,92.0,CU3-1103-33
53,CU,CU3,2015/11/03,33,13.226,3506,742530,0.98,000095-47-6,92.0,CU3-1103-33
54,CU,CU3,2015/11/03,34,13.56,3595,20582126,27.18,000624-41-9,83.0,CU3-1103-34
55,CU,CU3,2015/11/03,35,13.74,3643,52720,0.07,000624-41-9,22.0,CU3-1103-35
56,CU,CU3,2015/11/03,35,13.74,3643,52720,0.07,000123-92-2,22.0,CU3-1103-35
57,CU,CU3,2015/11/03,36,13.883,3681,98682,0.13,000100-42-5,93.0,CU3-1103-36
58,CU,CU3,2015/11/03,36,13.883,3681,98682,0.13,000694-87-1,93.0,CU3-1103-36
59,CU,CU3,2015/11/03,37,14.126,3746,426188,0.56,000105-66-8,90.0,CU3-1103-37
60,CU,CU3,2015/11/03,38,14.299,3792,77621,0.1,004389-50-8,64.0,CU3-1103-38
61,CU,CU3,2015/11/03,38,14.299,3792,77621,0.1,002941-78-8,64.0,CU3-1103-38
62,CU,CU3,2015/11/03,38,14.299,3792,77621,0.1,999067-89-0,64.0,CU3-1103-38
63,CU,CU3,2015/11/03,39,14.381,3814,54795,0.07,000111-76-2,58.0,CU3-1103-39
64,CU,CU3,2015/11/03,40,14.452,3833,2772909,3.66,000590-01-2,90.0,CU3-1103-40
65,CU,CU3,2015/11/03,41,14.64,3883,958482,1.27,000628-63-7,83.0,CU3-1103-41
66,CU,CU3,2015/11/03,41,14.64,3883,958482,1.27,000123-92-2,83.0,CU3-1103-41
67,CU,CU3,2015/11/03,42,14.722,3905,85027,0.11,000100-66-3,95.0,CU3-1103-42
68,CU,CU3,2015/11/03,43,14.932,3961,51896,0.07,036982-54-4,50.0,CU3-1103-43
69,CU,CU3,2015/11/03,43,14.932,3961,51896,0.07,999033-80-2,50.0,CU3-1103-43
70,CU,CU3,2015/11/03,44,14.981,3974,177030,0.23,000106-70-7,86.0,CU3-1103-44
71,CU,CU3,2015/11/03,45,15.704,4167,594261,0.78,068039-26-9,83.0,CU3-1103-45
72,CU,CU3,2015/11/03,45,15.704,4167,594261,0.78,037064-20-3,83.0,CU3-1103-45
73,CU,CU3,2015/11/03,46,16.064,4263,188659,0.25,999160-45-4,45.0,CU3-1103-46
74,CU,CU3,2015/11/03,46,16.064,4263,188659,0.25,999161-75-9,43.0,CU3-1103-46
75,CU,CU3,2015/11/03,46,16.064,4263,188659,0.25,000610-49-1,43.0,CU3-1103-46
76,CU,CU3,2015/11/03,47,16.207,4301,114190,0.15,000098-86-2,38.0,CU3-1103-47
77,CU,CU3,2015/11/03,47,16.207,4301,114190,0.15,000622-96-8,38.0,CU3-1103-47
78,CU,CU3,2015/11/03,48,16.585,4402,1428096,1.89,000105-68-0,90.0,CU3-1103-48
79,CU,CU3,2015/11/03,48,16.585,4402,1428096,1.89,002438-20-2,83.0,CU3-1103-48
80,CU,CU3,2015/11/03,49,16.908,4488,39469,0.05,000108-95-2,55.0,CU3-1103-49
81,CU,CU3,2015/11/03,50,17.121,4545,311108,0.41,000110-93-0,93.0,CU3-1103-50
82,CU,CU3,2015/11/03,51,17.26,4582,243187,0.32,000111-13-7,94.0,CU3-1103-51
